AEDT,Australian Eastern Daylight Time,UTC+11,11
MAGT,Magadan Time,UTC+11,11
SBT,Solomon Islands Time,UTC+11,11
NFT,Norfolk Time,UTC+11:30,11.5
FJT,Fiji Time,UTC+12,12
GILT,Gilbert Island Time,UTC+12,12
NZST,New Zealand Standard Time,UTC+12,12
PETT,Kamchatka Time,UTC+12,12
CHAST,Chatham Standard Time,UTC+12:45,12.75
NZDT,New Zealand Daylight Time,UTC+13,13
PHOT,Phoenix Island Time,UTC+13,13
CHADT,Chatham Daylight Time,UTC+13:45,13.75
LINT,Line Islands Time,UTC+14,14
